"APPENDIX A
"Show
ID","Contra
ct Numb er","Contract
ed Through","Group
Name","Condu
ctor","Group
Size",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1854,NI,"IU
Musical Organiza tions","Men s
Concert Choir",GK,,"Pendle
ton",IN,"Thursday,
October 12, 1950","Pendleton High
School",,Convocation,NI,NI,TRUE,1 00 pm,"Pendleto
n High School Auditori
um"
1323,NI,Musical Organiza tions,Men s Concert Choir,GK,NI,Pendle ton,IN,"Thursday, October 12, 1950",Pendleton High School,"1.5
hours",Convocation,NI,NI,TRUE,1 00 pm,"Pendleto n High School
Auditori um"
1324,NI,Musical Organiza tions,Men s Concert Choir,GK,NI,Decat ur,IN,"Thursday, October 12, 1950",Decatur Chamber of Commerce,"2
hours",Annual Fish Fry,NI,NI,TRUE,8 00 pm,"-r.-Sr.
High School Auditori
um"
1855,NI,"IU
Musical Organiza tions",Men s Concert Choir,GK,,Decat ur,IN,"Thursday, October 12, 1950",Decatur Chamber of Commerce,NI,Annual Fish Fry,NI,NI,TRUE,8 00 pm,"-r Sr High School Auditori
um"
1325,NI,"Musical
Organiza tions","Men s
Concert Choir",GK,NI,"Mento
ne",IN,"Friday, October
27, 1950","National Egg
Dealers",NI,"BanTuet - Big
Egg Show",NI,NI,TRUE,8 00 pm,"Mentone
Commu nity Building"
1856,NI,"IU
Musical Organiza tions","Men s
Concert Choir",GK,,"Mento
ne",IN,"Friday, October
27, 1950","National Egg
Dealers",NI,"BanTuet - Big
Egg Show",NI,NI,TRUE,8 00 pm,"Mentone
Commu nity Building"
1857,NI,"IU
Musical Organiza tions",Men s Concert Choir,GK,,Evans ville,IN,"Monday, November 20,
1950",Kiwanis Club,"75-90
minut e",banTuet,NI,NI,TRUE,8 00 pm,"Gold Room - Hotel McCurd
y"
1326,NI,"Musical
Services","Men s
Concert Choir",GK,NI,"Evans
ville",IN,"Monday,
November 20,
1950",Kiwanis Club,"75-90
minut es",BanTuet,NI,NI,TRUE,8 00 pm,"Hotel
McCurd y"
1858,NI,"IU
Musical
Organiza tions",Singing Hoosiers,GK,,Colum bus,IN,"Friday, December 01,
1950",Columbus Kiwanis Club,NI,9ariety Show,NI,NI,TRUE,8 00 pm,"Columb us HS Gymnasi
um"
"Show
ID","Contra
ct Numb er","Contract
ed Through","Group
Name","Condu
ctor","Group
Size",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1327,NI,"Musical
Organiza tions","Singing
Hoosiers",GK,NI,"Colum
bus",IN,"Friday,
December 01,
1950","Columbus
Kiwanis Club",NI,9ariety Show,NI,NI,TRUE,8 00 pm,"Columb
us High School Gymnasi
um"
1347,NI,NI,Singing Hoosiers,GK,NI,Bloom ington,IN,"Tuesday, December 19,
1950",NI,NI,Treasurer s Office,NI,NI,FALSE,NI,"IU
Auditori um"
1328,NI,Musical Attractio ns,Singing Hoosiers,GK,NI,Seymo ur,IN,"Thursday, January 18, 1951",Shields Concert Choir,NI,Assembly & Concert,NI,NI,FALSE,2 30 pm & 8 00 pm,"Shields High School Girl s Gymnasi
um"
1859,NI,"IU
Musical Organiza
tions",Singing Hoosiers,GK,,Seymo ur,IN,"Thursday, January 18, 1951",Shields Concert Choir,NI,"assembly program and evening
concert",NI,NI,TRUE,2 30 pm & 8 00 pm,"Shields Girls Gymnasi
um"
1333,NI,Musical Organiza tions,Singing Hoosiers,GK,NI,Decat ur,IN,"Wednesday, February 07,
1951",Decatur High School Choir,NI,9ariety Program,NI,NI,TRUE,2 30 pm,"Decatur High School
Auditori um"
1862,NI,"IU
Musical Organiza tions",Singing Hoosiers,GK,,Decat ur,IN,"Wednesday, February 07,
1951",Decatur High School Choir,NI,9ariety Program,NI,NI,TRUE,2 30 pm,"Decatur H.S.
Auditori um"
1335,NI,Musical Organiza tions,Singing Hoosiers,GK,NI,LaGra nge,IN,"Thursday, February 08,
1951",LaGrange Junior Chamber of Commerce,NI,Evening Concert,NI,NI,TRUE,7 30 pm,LaGrang e High School Auditori um
1864,NI,"IU
Musical Organiza
tions",Singing Hoosiers,GK,,LaGra nge,IN,"Thursday, February 08,
1951",LaGrange Junior Chamber of Commerce,NI,Evening Concert,NI,NI,TRUE,7 30 pm,"LaGrang e H.S.
Auditori um"
"Show
ID","Contra
ct Numb er","Contract
ed Through","Group
Name","Condu
ctor","Group
Size",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1334,NI,"Musical
Organiza tions","Singing
Hoosiers",GK,NI,"Rome
City",IN,"Thursday,
February 08,
1951","Rome City High
School",NI,"Assembly
Program",NI,NI,TRUE,11 00 am,"Rome
City High School Gymnasi
um"
1863,NI,"IU
Musical Organiza tions",Singing Hoosiers,GK,,Rome City,IN,"Thursday, February 08,
1951",Rome City High School,NI,Assembly program,NI,NI,TRUE,11 00 am,"Rome City High School
Gym"
1336,NI,Musical Organiza tions,Singing Hoosiers,GK,NI,Howe,IN,"Friday, February 09, 1951",Howe Military School,NI,Convocation,NI,NI,TRUE,11 00 am,"Howe Military School
Gymnasi um"
1865,NI,"IU
Musical Organiza tions","Singing
Hoosiers",GK,,Howe,IN,"Friday, February
09, 1951","Howe Military
School",NI,convocation,NI,NI,TRUE,11 00 am,"Howe
Military School Gymnasi um"
1348,NI,NI,"Singing
Hoosiers",GK,NI,"Battle
Creek",MI,"Friday, February
09, 1951","A Cappella
Choir",NI,NI,NI,NI,TRUE,NI,NI
1337,NI,Musical Organiza tions,Singing Hoosiers,GK,NI,Detroi t,MI,"Sunday, February 11, 1951",Jefferson Avenue Baptist Church,NI,"Morning Worship Service &
Evening Concert",NI,NI,TRUE,11 00 am & 8 00 pm,"Jefferso n Avenue
Baptist Church"
1866,NI,"IU
Musical Organiza tions",Singing Hoosiers,GK,,Detrio t,MI,"Sunday, February 11, 1951",Jefferson Ave. Church,NI,Morning service & Evening concert,NI,NI,TRUE,11 00 am & 8 00 pm,"Jefferso n Avenue Baptist
Church"
1867,NI,"IU
Musical Organiza tions","Singing
Hoosiers",GK,,"Grosse
Ile",MI,"Monday,
February 12,
1951","Grosse Ile Naval
Air Station",NI,9ariety Show,NI,NI,TRUE,NI,"Recreati
on Building
Auditori um"
"Show
ID","Contra
ct Numb er","Contract
ed Through","Group
Name","Condu
ctor","Group
Size",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1350,NI,NI,"Singing
Hoosiers",GK,NI,"Detroi
t",MI,"Monday,
February 12,
1951","Television
Station WXYZ",NI,NI,NI,NI,FALSE,NI,NI
1338,NI,Musical Organiza tions,Singing Hoosiers,GK,NI,Grosse Ille,MI,"Monday, February 12,
1951",Gross Ille Naval Air Station,NI,9ariety Show,NI,NI,TRUE,NI,"Naval Air Station Recratio n Building Auditori
um"
1868,NI,"IU
Musical Organiza tions",Singing Hoosiers,GK,,Toled o,OH,"Tuesday, February 13,
1951",Monroe St. Methodist Church,NI,Evening Concert,NI,NI,TRUE,8 00 pm,"Monroe St.
Methodi
st Church"
1339,NI,"Musical
Organiza tions","Singing
Hoosiers",GK,NI,"Toled
o",OH,"Tuesday,
February 13,
1951","Monroe Street
Methodist Church",NI,"Evening
Concert",NI,NI,TRUE,8 00 pm,"Monroe
Street Methodi st Church"
1870,NI,"IU
Musical Organiza tions",Singing Hoosiers,GK,,Ander son,IN,"Wednesday, February 14,
1951",First Baptist Church,NI,Evening Concert,NI,NI,TRUE,8 15 pm,First Baptist Church
1869,NI,"IU
Musical Organiza
tions",Singing Hoosiers,GK,,Blufft on,IN,"Wednesday, February 14,
1951",Bluffton H.S.,NI,convocation,NI,NI,TRUE,12 30 pm,"Bluffton H.S.
Gym"
1341,NI,"Musical Organiza
tions",Singing Hoosiers,GK,NI,Ander son,IN,"Wednesday, February 14,
1951",First Baptist Church,NI,Evening Concert,NI,NI,TRUE,8 15 pm,"First Baptist
Church"
1340,NI,Musical Organiza tions,Singing Hoosiers,GK,NI,Blufft on,IN,"Wednesday, February 14,
1951",Bluffton High School,NI,Convocation,NI,NI,TRUE,12 30 pm,"Bluffton High School Gymnasi
um"
